case_id,freq_hz,target_bn_t,tuned_i_a,bn_mean_t,p_side3_w,a_side_m2,p_core3_w
KE001,1000,0.100000,8.713722e-02,9.998345e-02,1.549565e-04,4.480000e-04,1.018208e-03
KE002,1000,0.300000,2.614117e-01,2.999503e-01,1.394608e-03,4.480000e-04,9.163875e-03
KE003,1000,0.500000,4.356861e-01,4.999172e-01,3.873912e-03,4.480000e-04,2.545521e-02
KE004,1000,0.700000,6.099606e-01,6.998841e-01,7.592868e-03,4.480000e-04,4.989221e-02
KE005,2000,0.100000,8.715370e-02,9.998345e-02,6.198164e-04,4.480000e-04,4.072770e-03
KE006,2000,0.300000,2.614611e-01,2.999503e-01,5.578348e-03,4.480000e-04,3.665493e-02
KE007,2000,0.500000,4.357685e-01,4.999172e-01,1.549541e-02,4.480000e-04,1.018193e-01
KE008,2000,0.700000,6.100759e-01,6.998841e-01,3.037100e-02,4.480000e-04,1.995657e-01
KE009,5000,0.100000,8.726892e-02,9.998344e-02,3.873434e-03,4.480000e-04,2.545206e-02
KE010,5000,0.300000,2.618068e-01,2.999503e-01,3.486090e-02,4.480000e-04,2.290686e-01
KE011,5000,0.500000,4.363446e-01,4.999172e-01,9.683584e-02,4.480000e-04,6.363016e-01
KE012,5000,0.700000,6.108824e-01,6.998841e-01,1.897982e-01,4.480000e-04,1.247151e+00
KE013,10000,0.100000,8.767891e-02,9.998342e-02,1.548775e-02,4.480000e-04,1.017690e-01
KE014,10000,0.300000,2.630367e-01,2.999503e-01,1.393898e-01,4.480000e-04,9.159207e-01
KE015,10000,0.500000,4.383945e-01,4.999171e-01,3.871938e-01,4.480000e-04,2.544224e+00
KE016,10000,0.700000,6.137524e-01,6.998839e-01,7.588999e-01,4.480000e-04,4.986679e+00
KE017,20000,0.100000,8.929586e-02,9.998333e-02,6.185561e-02,4.480000e-04,4.064492e-01
KE018,20000,0.300000,2.678876e-01,2.999500e-01,5.567005e-01,4.480000e-04,3.658043e+00
KE019,20000,0.500000,4.464793e-01,4.999166e-01,1.546390e+00,4.480000e-04,1.016123e+01
KE020,20000,0.700000,6.250710e-01,6.998833e-01,3.030925e+00,4.480000e-04,1.991601e+01
KE021,30000,0.100000,9.191322e-02,9.998318e-02,1.388197e-01,4.480000e-04,9.121761e-01
KE022,30000,0.300000,2.757397e-01,2.999495e-01,1.249377e+00,4.480000e-04,8.209585e+00
KE023,30000,0.500000,4.595661e-01,4.999159e-01,3.470492e+00,4.480000e-04,2.280440e+01
KE024,30000,0.700000,6.433925e-01,6.998823e-01,6.802164e+00,4.480000e-04,4.469663e+01
KE025,50000,0.100000,9.971950e-02,9.998272e-02,3.825040e-01,4.480000e-04,2.513420e+00
KE026,50000,0.300000,2.991585e-01,2.999481e-01,3.442536e+00,4.480000e-04,2.262078e+01
KE027,50000,0.500000,4.985975e-01,4.999136e-01,9.562600e+00,4.480000e-04,6.283550e+01
KE028,50000,0.700000,6.980365e-01,6.998790e-01,1.874270e+01,4.480000e-04,1.231576e+02
KE029,100000,0.100000,1.286316e-01,9.998068e-02,1.475781e+00,4.480000e-04,9.697444e+00
KE030,100000,0.300000,3.858947e-01,2.999420e-01,1.328203e+01,4.480000e-04,8.727700e+01
KE031,100000,0.500000,6.431578e-01,4.999034e-01,3.689453e+01,4.480000e-04,2.424361e+02
KE032,100000,0.700000,9.004210e-01,6.998647e-01,7.231327e+01,4.480000e-04,4.751748e+02
KE033,200000,0.100000,1.945023e-01,9.997429e-02,5.235095e+00,4.480000e-04,3.440167e+01
KE034,200000,0.300000,5.835070e-01,2.999229e-01,4.711585e+01,4.480000e-04,3.096150e+02
KE035,200000,0.500000,9.725116e-01,4.998714e-01,1.308774e+02,4.480000e-04,8.600418e+02
KE036,200000,0.700000,1.361516e+00,6.998200e-01,2.565196e+02,4.480000e-04,1.685682e+03
