case_id,freq_hz,target_bn_t,tuned_i_a,bn_mean_t,p_side3_w,a_side_m2,p_core3_w
KE001,1000,0.100000,8.725031e-02,9.998344e-02,7.202134e-04,4.480000e-04,4.732472e-03
KE002,1000,0.300000,2.617509e-01,2.999503e-01,6.481921e-03,4.480000e-04,4.259225e-02
KE003,1000,0.500000,4.362516e-01,4.999172e-01,1.800534e-02,4.480000e-04,1.183118e-01
KE004,1000,0.700000,6.107522e-01,6.998841e-01,3.529046e-02,4.480000e-04,2.318911e-01
KE005,2000,0.100000,8.760489e-02,9.998342e-02,2.879892e-03,4.480000e-04,1.892357e-02
KE006,2000,0.300000,2.628147e-01,2.999503e-01,2.591903e-02,4.480000e-04,1.703122e-01
KE007,2000,0.500000,4.380245e-01,4.999171e-01,7.199731e-02,4.480000e-04,4.730894e-01
KE008,2000,0.700000,6.132342e-01,6.998840e-01,1.411147e-01,4.480000e-04,9.272552e-01
KE009,5000,0.100000,9.003916e-02,9.998329e-02,1.795745e-02,4.480000e-04,1.179973e-01
KE010,5000,0.300000,2.701175e-01,2.999499e-01,1.616170e-01,4.480000e-04,1.061975e+00
KE011,5000,0.500000,4.501958e-01,4.999164e-01,4.489362e-01,4.480000e-04,2.949932e+00
KE012,5000,0.700000,6.302741e-01,6.998830e-01,8.799150e-01,4.480000e-04,5.781866e+00
KE013,10000,0.100000,9.812992e-02,9.998281e-02,7.124152e-02,4.480000e-04,4.681251e-01
KE014,10000,0.300000,2.943898e-01,2.999484e-01,6.411737e-01,4.480000e-04,4.213126e+00
KE015,10000,0.500000,4.906496e-01,4.999141e-01,1.781038e+00,4.480000e-04,1.170313e+01
KE016,10000,0.700000,6.869095e-01,6.998797e-01,3.490834e+00,4.480000e-04,2.293813e+01
KE017,20000,0.100000,1.240906e-01,9.998103e-02,2.761363e-01,4.480000e-04,1.814503e+00
KE018,20000,0.300000,3.722719e-01,2.999431e-01,2.485227e+00,4.480000e-04,1.633053e+01
KE019,20000,0.500000,6.204531e-01,4.999052e-01,6.903408e+00,4.480000e-04,4.536259e+01
KE020,20000,0.700000,8.686344e-01,6.998672e-01,1.353068e+01,4.480000e-04,8.891067e+01
KE021,30000,0.100000,1.550042e-01,9.997840e-02,5.922257e-01,4.480000e-04,3.891613e+00
KE022,30000,0.300000,4.650126e-01,2.999352e-01,5.330031e+00,4.480000e-04,3.502451e+01
KE023,30000,0.500000,7.750210e-01,4.998920e-01,1.480564e+01,4.480000e-04,9.729032e+01
KE024,30000,0.700000,1.085029e+00,6.998488e-01,2.901906e+01,4.480000e-04,1.906890e+02
KE025,50000,0.100000,2.139835e-01,9.997198e-02,1.452643e+00,4.480000e-04,9.545992e+00
KE026,50000,0.300000,6.419506e-01,2.999159e-01,1.307379e+01,4.480000e-04,8.591393e+01
KE027,50000,0.500000,1.069918e+00,4.998599e-01,3.631608e+01,4.480000e-04,2.386498e+02
KE028,50000,0.700000,1.497885e+00,6.998039e-01,7.117952e+01,4.480000e-04,4.677536e+02
KE029,100000,0.100000,3.184773e-01,9.995767e-02,4.263257e+00,4.480000e-04,2.801867e+01
KE030,100000,0.300000,9.554319e-01,2.998730e-01,3.836932e+01,4.480000e-04,2.521681e+02
KE031,100000,0.500000,1.592386e+00,4.997883e-01,1.065814e+02,4.480000e-04,7.004668e+02
KE032,100000,0.700000,2.229341e+00,6.997037e-01,2.088996e+02,4.480000e-04,1.372915e+03
KE033,200000,0.100000,4.484946e-01,9.993968e-02,1.186582e+01,4.480000e-04,7.799361e+01
KE034,200000,0.300000,1.345484e+00,2.998190e-01,1.067924e+02,4.480000e-04,7.019425e+02
KE035,200000,0.500000,2.242473e+00,4.996984e-01,2.966455e+02,4.480000e-04,1.949840e+03
KE036,200000,0.700000,3.139462e+00,6.995777e-01,5.814251e+02,4.480000e-04,3.821687e+03
