mode,freq_hz,gap_mm,target_bn_t,kd_core,kd_side,r2_core,r2_side,n
LT0_OFF,10000,2.000000,0.100000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.000000,0.200000,1.954709,1.954710,0.999705,0.999705,5
LT0_OFF,10000,2.000000,0.400000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.000000,0.800000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.000000,1.000000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.000000,1.300000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.500000,0.100000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.500000,0.200000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.500000,0.400000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.500000,0.800000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.500000,1.000000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,2.500000,1.300000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,3.000000,0.100000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,3.000000,0.200000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,3.000000,0.400000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,3.000000,0.800000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,3.000000,1.000000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,3.000000,1.300000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,4.000000,0.100000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,4.000000,0.200000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,4.000000,0.400000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,4.000000,0.800000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,4.000000,1.000000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,10000,4.000000,1.300000,1.954709,1.954709,0.999705,0.999705,5
LT0_OFF,30000,2.000000,0.100000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.000000,0.200000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.000000,0.400000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.000000,0.800000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.000000,1.000000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.000000,1.300000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.500000,0.100000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.500000,0.200000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.500000,0.400000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.500000,0.800000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.500000,1.000000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,2.500000,1.300000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,3.000000,0.100000,1.782844,1.782845,0.993358,0.993358,5
LT0_OFF,30000,3.000000,0.200000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,3.000000,0.400000,1.782845,1.782844,0.993358,0.993358,5
LT0_OFF,30000,3.000000,0.800000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,3.000000,1.000000,1.782844,1.782845,0.993358,0.993358,5
LT0_OFF,30000,3.000000,1.300000,1.782845,1.782845,0.993358,0.993358,5
LT0_OFF,30000,4.000000,0.100000,1.782844,1.782844,0.993358,0.993358,5
LT0_OFF,30000,4.000000,0.200000,1.782844,1.782844,0.993358,0.993358,5
LT0_OFF,30000,4.000000,0.400000,1.782844,1.782844,0.993358,0.993358,5
LT0_OFF,30000,4.000000,0.800000,1.782844,1.782844,0.993358,0.993358,5
LT0_OFF,30000,4.000000,1.000000,1.782844,1.782844,0.993358,0.993358,5
LT0_OFF,30000,4.000000,1.300000,1.782844,1.782844,0.993358,0.993358,5
LT0_OFF,100000,2.000000,0.100000,1.489083,1.489083,0.979984,0.979984,5
LT0_OFF,100000,2.000000,0.200000,1.489083,1.489083,0.979984,0.979984,5
LT0_OFF,100000,2.000000,0.400000,1.489083,1.489083,0.979984,0.979984,5
LT0_OFF,100000,2.000000,0.800000,1.489083,1.489083,0.979984,0.979984,5
LT0_OFF,100000,2.000000,1.000000,1.489083,1.489083,0.979984,0.979984,5
LT0_OFF,100000,2.000000,1.300000,1.489083,1.489083,0.979984,0.979984,5
LT0_OFF,100000,2.500000,0.100000,1.489082,1.489082,0.979984,0.979984,5
LT0_OFF,100000,2.500000,0.200000,1.489082,1.489082,0.979984,0.979984,5
LT0_OFF,100000,2.500000,0.400000,1.489082,1.489082,0.979984,0.979984,5
LT0_OFF,100000,2.500000,0.800000,1.489082,1.489082,0.979984,0.979984,5
LT0_OFF,100000,2.500000,1.000000,1.489082,1.489082,0.979984,0.979984,5
LT0_OFF,100000,2.500000,1.300000,1.489082,1.489082,0.979984,0.979984,5
LT0_OFF,100000,3.000000,0.100000,1.489082,1.489081,0.979984,0.979984,5
LT0_OFF,100000,3.000000,0.200000,1.489081,1.489081,0.979984,0.979984,5
LT0_OFF,100000,3.000000,0.400000,1.489081,1.489081,0.979984,0.979984,5
LT0_OFF,100000,3.000000,0.800000,1.489081,1.489081,0.979984,0.979984,5
LT0_OFF,100000,3.000000,1.000000,1.489082,1.489081,0.979984,0.979984,5
