mode,d_lam_mm,gap_mm,target_bn_t,alpha_core,alpha_side,r2_core,r2_side,n
LT0_OFF,0.010000,2.000000,0.100000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.000000,0.200000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.000000,0.400000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.000000,0.800000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.000000,1.000000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.000000,1.300000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.500000,0.100000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.500000,0.200000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.500000,0.400000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.500000,0.800000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.500000,1.000000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,2.500000,1.300000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,3.000000,0.100000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,3.000000,0.200000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,3.000000,0.400000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,3.000000,0.800000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,3.000000,1.000000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,3.000000,1.300000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,4.000000,0.100000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,4.000000,0.200000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,4.000000,0.400000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,4.000000,0.800000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,4.000000,1.000000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.010000,4.000000,1.300000,1.998446,1.998446,1.000000,1.000000,4
LT0_OFF,0.018000,2.000000,0.100000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.000000,0.200000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.000000,0.400000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.000000,0.800000,1.984458,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.000000,1.000000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.000000,1.300000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.500000,0.100000,1.984459,1.984458,0.999975,0.999975,4
LT0_OFF,0.018000,2.500000,0.200000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.500000,0.400000,1.984458,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.500000,0.800000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,2.500000,1.000000,1.984459,1.984458,0.999975,0.999975,4
LT0_OFF,0.018000,2.500000,1.300000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,3.000000,0.100000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,3.000000,0.200000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,3.000000,0.400000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,3.000000,0.800000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,3.000000,1.000000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,3.000000,1.300000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,4.000000,0.100000,1.984458,1.984458,0.999975,0.999975,4
LT0_OFF,0.018000,4.000000,0.200000,1.984459,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,4.000000,0.400000,1.984458,1.984458,0.999975,0.999975,4
LT0_OFF,0.018000,4.000000,0.800000,1.984458,1.984459,0.999975,0.999975,4
LT0_OFF,0.018000,4.000000,1.000000,1.984458,1.984458,0.999975,0.999975,4
LT0_OFF,0.018000,4.000000,1.300000,1.984458,1.984458,0.999975,0.999975,4
LT0_OFF,0.023000,2.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.500000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.500000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.500000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,0.023000,2.500000,0.800000,1.961832,1.961832,0.999857,0.999857,4
