mode,d_lam_mm,freq_hz,target_bn_t,gamma_core,gamma_side,r2_core,r2_side,n
LT0_OFF,0.010000,10000,0.100000,-0.014070,-0.014053,0.998802,0.996173,4
LT0_OFF,0.010000,10000,0.200000,-0.014071,-0.014053,0.998800,0.996173,4
LT0_OFF,0.010000,10000,0.400000,-0.014071,-0.014053,0.998798,0.996170,4
LT0_OFF,0.010000,10000,0.800000,-0.014070,-0.014053,0.998802,0.996167,4
LT0_OFF,0.010000,10000,1.000000,-0.014070,-0.014053,0.998802,0.996173,4
LT0_OFF,0.010000,10000,1.300000,-0.014069,-0.014053,0.998803,0.996170,4
LT0_OFF,0.010000,30000,0.100000,-0.014070,-0.014053,0.998802,0.996170,4
LT0_OFF,0.010000,30000,0.200000,-0.014070,-0.014054,0.998803,0.996169,4
LT0_OFF,0.010000,30000,0.400000,-0.014070,-0.014053,0.998802,0.996172,4
LT0_OFF,0.010000,30000,0.800000,-0.014070,-0.014053,0.998804,0.996171,4
LT0_OFF,0.010000,30000,1.000000,-0.014070,-0.014053,0.998802,0.996170,4
LT0_OFF,0.010000,30000,1.300000,-0.014070,-0.014053,0.998802,0.996169,4
LT0_OFF,0.010000,100000,0.100000,-0.014070,-0.014053,0.998802,0.996168,4
LT0_OFF,0.010000,100000,0.200000,-0.014070,-0.014054,0.998801,0.996172,4
LT0_OFF,0.010000,100000,0.400000,-0.014070,-0.014053,0.998807,0.996170,4
LT0_OFF,0.010000,100000,0.800000,-0.014070,-0.014053,0.998801,0.996167,4
LT0_OFF,0.010000,100000,1.000000,-0.014070,-0.014053,0.998802,0.996168,4
LT0_OFF,0.010000,100000,1.300000,-0.014071,-0.014053,0.998801,0.996170,4
LT0_OFF,0.010000,200000,0.100000,-0.014070,-0.014053,0.998801,0.996173,4
LT0_OFF,0.010000,200000,0.200000,-0.014070,-0.014053,0.998803,0.996171,4
LT0_OFF,0.010000,200000,0.400000,-0.014070,-0.014053,0.998802,0.996172,4
LT0_OFF,0.010000,200000,0.800000,-0.014070,-0.014053,0.998805,0.996170,4
LT0_OFF,0.010000,200000,1.000000,-0.014070,-0.014053,0.998801,0.996173,4
LT0_OFF,0.010000,200000,1.300000,-0.014071,-0.014054,0.998802,0.996169,4
LT0_OFF,0.018000,10000,0.100000,-0.014070,-0.014053,0.998801,0.996166,4
LT0_OFF,0.018000,10000,0.200000,-0.014070,-0.014053,0.998802,0.996171,4
LT0_OFF,0.018000,10000,0.400000,-0.014070,-0.014053,0.998801,0.996166,4
LT0_OFF,0.018000,10000,0.800000,-0.014071,-0.014053,0.998799,0.996169,4
LT0_OFF,0.018000,10000,1.000000,-0.014070,-0.014053,0.998801,0.996166,4
LT0_OFF,0.018000,10000,1.300000,-0.014070,-0.014053,0.998801,0.996164,4
LT0_OFF,0.018000,30000,0.100000,-0.014070,-0.014053,0.998803,0.996170,4
LT0_OFF,0.018000,30000,0.200000,-0.014070,-0.014053,0.998802,0.996171,4
