mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,bx_sq_sum,by_sq_sum,bx_fraction,n_pts
LT0_OFF,2.000000,100000,1.000000,0.010000,5.520682e+00,2.755416e+02,0.019642,280
LT0_OFF,2.000000,100000,1.000000,0.018000,5.520660e+00,2.755410e+02,0.019642,280
LT0_OFF,2.000000,100000,1.000000,0.023000,5.520621e+00,2.755401e+02,0.019642,280
LT0_OFF,2.000000,100000,1.000000,0.050000,5.519989e+00,2.755247e+02,0.019641,280
LT0_OFF,2.000000,100000,1.000000,0.100000,5.518740e+00,2.754943e+02,0.019639,280
LT2_ON,2.000000,100000,1.000000,0.010000,5.406198e+00,2.756449e+02,0.019236,280
LT2_ON,2.000000,100000,1.000000,0.018000,5.459183e+00,2.763103e+02,0.019375,280
LT2_ON,2.000000,100000,1.000000,0.023000,5.490356e+00,2.771948e+02,0.019422,280
LT2_ON,2.000000,100000,1.000000,0.050000,5.349793e+00,2.802625e+02,0.018731,280
LT2_ON,2.000000,100000,1.000000,0.100000,5.326517e+00,2.804928e+02,0.018636,280
