case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,x_mm,y_mm,bx_abs_t,by_abs_t
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,14.5000,2.596758e-02,7.185730e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,15.5000,1.509414e-02,7.743072e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,16.5000,1.179440e-02,8.219512e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,17.5000,1.134045e-02,8.609296e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,18.5000,1.482501e-02,8.932757e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,19.5000,2.057430e-02,9.178905e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,20.5000,2.586236e-02,9.351852e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,21.5000,2.959799e-02,9.477726e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,22.5000,3.264406e-02,9.574361e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,23.5000,3.483347e-02,9.657454e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,24.5000,3.820521e-02,9.729694e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,25.5000,4.513982e-02,9.800481e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,26.5000,5.493488e-02,9.846697e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,27.5000,6.768199e-02,9.860938e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,28.5000,8.239556e-02,9.853863e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,29.5000,9.885740e-02,9.847497e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,30.5000,1.205352e-01,9.854145e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,31.5000,1.538470e-01,9.961663e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,32.5000,2.160192e-01,1.020648e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0.5000,33.5000,3.748299e-01,1.039901e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,14.5000,7.743653e-02,7.398954e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,15.5000,6.051821e-02,7.857471e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,16.5000,5.165243e-02,8.275209e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,17.5000,4.714115e-02,8.640589e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,18.5000,4.310066e-02,8.919092e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,19.5000,4.091958e-02,9.149865e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,20.5000,4.063824e-02,9.331144e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,21.5000,4.004188e-02,9.455084e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,22.5000,4.052029e-02,9.556826e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,23.5000,4.229922e-02,9.637461e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,24.5000,4.462019e-02,9.687767e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,25.5000,4.901319e-02,9.725638e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,1.5000,26.5000,5.641573e-02,9.745592e-01
