case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0001,LT0_OFF,2.000000,10000,0.100000,0.010000,0,0,3.053050e+01,1.001348e-01,4.051310e-03,9.901874e-02,1.283962e-05,8.067373e-01,1.597795e-01,6.289866e-03,3.145053e-03,0.000000e+00
C0002,LT0_OFF,2.000000,10000,0.200000,0.010000,0,0,6.106100e+01,2.002696e-01,8.102620e-03,1.980375e-01,1.283962e-05,8.067373e-01,6.391181e-01,2.515947e-02,1.258021e-02,0.000000e+00
C0003,LT0_OFF,2.000000,10000,0.400000,0.010000,0,0,1.221220e+02,4.005393e-01,1.620524e-02,3.960750e-01,1.283962e-05,8.067373e-01,2.556472e+00,1.006379e-01,5.032085e-02,0.000000e+00
C0004,LT0_OFF,2.000000,10000,0.800000,0.010000,0,0,2.442440e+02,8.010786e-01,3.241048e-02,7.921499e-01,1.283962e-05,8.067373e-01,1.022589e+01,4.025515e-01,2.012834e-01,0.000000e+00
C0005,LT0_OFF,2.000000,10000,1.000000,0.010000,0,0,3.053050e+02,1.001348e+00,4.051310e-02,9.901874e-01,1.283962e-05,8.067373e-01,1.597795e+01,6.289866e-01,3.145053e-01,0.000000e+00
C0006,LT0_OFF,2.000000,10000,1.300000,0.010000,0,0,3.968965e+02,1.301753e+00,5.266703e-02,1.287244e+00,1.283962e-05,8.067373e-01,2.700274e+01,1.062987e+00,5.315140e-01,0.000000e+00
C0007,LT0_OFF,2.500000,10000,0.100000,0.010000,0,0,3.657413e+01,1.001692e-01,4.007785e-03,9.871923e-02,1.071796e-05,6.734295e-01,2.264364e-01,6.268339e-03,3.133894e-03,0.000000e+00
C0008,LT0_OFF,2.500000,10000,0.200000,0.010000,0,0,7.314826e+01,2.003385e-01,8.015569e-03,1.974385e-01,1.071796e-05,6.734295e-01,9.057455e-01,2.507335e-02,1.253557e-02,0.000000e+00
C0009,LT0_OFF,2.500000,10000,0.400000,0.010000,0,0,1.462965e+02,4.006769e-01,1.603114e-02,3.948769e-01,1.071796e-05,6.734295e-01,3.622982e+00,1.002934e-01,5.014230e-02,0.000000e+00
C0010,LT0_OFF,2.500000,10000,0.800000,0.010000,0,0,2.925930e+02,8.013539e-01,3.206228e-02,7.897538e-01,1.071796e-05,6.734295e-01,1.449193e+01,4.011737e-01,2.005692e-01,0.000000e+00
C0011,LT0_OFF,2.500000,10000,1.000000,0.010000,0,0,3.657413e+02,1.001692e+00,4.007785e-02,9.871923e-01,1.071796e-05,6.734295e-01,2.264364e+01,6.268339e-01,3.133894e-01,0.000000e+00
C0012,LT0_OFF,2.500000,10000,1.300000,0.010000,0,0,4.754637e+02,1.302200e+00,5.210120e-02,1.283350e+00,1.071796e-05,6.734295e-01,3.826775e+01,1.059349e+00,5.296280e-01,0.000000e+00
C0013,LT0_OFF,3.000000,10000,0.100000,0.010000,0,0,4.222405e+01,1.002017e-01,3.732931e-03,9.858619e-02,9.283809e-06,5.833192e-01,2.994695e-01,6.252620e-03,3.125670e-03,0.000000e+00
C0014,LT0_OFF,3.000000,10000,0.200000,0.010000,0,0,8.444810e+01,2.004034e-01,7.465862e-03,1.971724e-01,9.283809e-06,5.833192e-01,1.197878e+00,2.501048e-02,1.250268e-02,0.000000e+00
C0015,LT0_OFF,3.000000,10000,0.400000,0.010000,0,0,1.688962e+02,4.008068e-01,1.493172e-02,3.943448e-01,9.283809e-06,5.833192e-01,4.791512e+00,1.000419e-01,5.001071e-02,0.000000e+00
C0016,LT0_OFF,3.000000,10000,0.800000,0.010000,0,0,3.377924e+02,8.016135e-01,2.986345e-02,7.886896e-01,9.283809e-06,5.833192e-01,1.916605e+01,4.001677e-01,2.000428e-01,0.000000e+00
C0017,LT0_OFF,3.000000,10000,1.000000,0.010000,0,0,4.222405e+02,1.002017e+00,3.732931e-02,9.858619e-01,9.283809e-06,5.833192e-01,2.994695e+01,6.252620e-01,3.125670e-01,0.000000e+00
C0018,LT0_OFF,3.000000,10000,1.300000,0.010000,0,0,5.489127e+02,1.302622e+00,4.852810e-02,1.281621e+00,9.283809e-06,5.833192e-01,5.061035e+01,1.056693e+00,5.282382e-01,0.000000e+00
C0019,LT0_OFF,4.000000,10000,0.100000,0.010000,0,0,5.259782e+01,1.002779e-01,3.630471e-03,9.881028e-02,7.452781e-06,4.682724e-01,4.603126e-01,6.228591e-03,3.114493e-03,0.000000e+00
C0020,LT0_OFF,4.000000,10000,0.200000,0.010000,0,0,1.051956e+02,2.005558e-01,7.260942e-03,1.976206e-01,7.452781e-06,4.682724e-01,1.841251e+00,2.491436e-02,1.245797e-02,0.000000e+00
C0021,LT0_OFF,4.000000,10000,0.400000,0.010000,0,0,2.103913e+02,4.011116e-01,1.452188e-02,3.952411e-01,7.452781e-06,4.682724e-01,7.365002e+00,9.965746e-02,4.983189e-02,0.000000e+00
C0022,LT0_OFF,4.000000,10000,0.800000,0.010000,0,0,4.207825e+02,8.022231e-01,2.904377e-02,7.904823e-01,7.452781e-06,4.682724e-01,2.946001e+01,3.986298e-01,1.993276e-01,0.000000e+00
C0023,LT0_OFF,4.000000,10000,1.000000,0.010000,0,0,5.259782e+02,1.002779e+00,3.630471e-02,9.881028e-01,7.452781e-06,4.682724e-01,4.603126e+01,6.228591e-01,3.114493e-01,0.000000e+00
C0024,LT0_OFF,4.000000,10000,1.300000,0.010000,0,0,6.837716e+02,1.303613e+00,4.719612e-02,1.284534e+00,7.452781e-06,4.682724e-01,7.779284e+01,1.052632e+00,5.263494e-01,0.000000e+00
C0025,LT0_OFF,2.000000,30000,0.100000,0.010000,0,0,3.053052e+01,1.001348e-01,4.051310e-03,9.901874e-02,1.283961e-05,2.420210e+00,3.722612e-01,5.660283e-02,2.830250e-02,0.000000e+00
C0026,LT0_OFF,2.000000,30000,0.200000,0.010000,0,0,6.106105e+01,2.002696e-01,8.102621e-03,1.980375e-01,1.283961e-05,2.420210e+00,1.489045e+00,2.264113e-01,1.132100e-01,0.000000e+00
C0027,LT0_OFF,2.000000,30000,0.400000,0.010000,0,0,1.221221e+02,4.005393e-01,1.620524e-02,3.960750e-01,1.283961e-05,2.420210e+00,5.956180e+00,9.056453e-01,4.528399e-01,0.000000e+00
C0028,LT0_OFF,2.000000,30000,0.800000,0.010000,0,0,2.442442e+02,8.010786e-01,3.241048e-02,7.921499e-01,1.283961e-05,2.420210e+00,2.382472e+01,3.622581e+00,1.811360e+00,0.000000e+00
C0029,LT0_OFF,2.000000,30000,1.000000,0.010000,0,0,3.053052e+02,1.001348e+00,4.051310e-02,9.901874e-01,1.283961e-05,2.420210e+00,3.722612e+01,5.660283e+00,2.830250e+00,0.000000e+00
C0030,LT0_OFF,2.000000,30000,1.300000,0.010000,0,0,3.968968e+02,1.301753e+00,5.266704e-02,1.287244e+00,1.283961e-05,2.420210e+00,6.291215e+01,9.565878e+00,4.783122e+00,0.000000e+00
