d_lam_mm,gap_mm,freq_hz,beta_all,r2_all,n
0.010000,2.000000,10000,2.0000,1.0000,3
0.010000,2.000000,30000,2.0000,1.0000,3
0.010000,2.000000,100000,2.0000,1.0000,3
0.010000,2.000000,200000,2.0000,1.0000,3
0.010000,3.000000,10000,2.0000,1.0000,3
0.010000,3.000000,30000,2.0000,1.0000,3
0.010000,3.000000,100000,2.0000,1.0000,3
0.010000,3.000000,200000,2.0000,1.0000,3
0.010000,4.000000,10000,2.0000,1.0000,3
0.010000,4.000000,30000,2.0000,1.0000,3
0.010000,4.000000,100000,2.0000,1.0000,3
0.010000,4.000000,200000,2.0000,1.0000,3
0.025000,2.000000,10000,2.0000,1.0000,3
0.025000,2.000000,30000,2.0000,1.0000,3
0.025000,2.000000,100000,2.0000,1.0000,3
0.025000,2.000000,200000,2.0001,1.0000,3
0.025000,3.000000,10000,2.0000,1.0000,3
0.025000,3.000000,30000,2.0000,1.0000,3
0.025000,3.000000,100000,2.0000,1.0000,3
0.025000,3.000000,200000,2.0000,1.0000,3
0.025000,4.000000,10000,2.0000,1.0000,3
0.025000,4.000000,30000,2.0000,1.0000,3
0.025000,4.000000,100000,2.0000,1.0000,3
0.025000,4.000000,200000,2.0000,1.0000,3
0.050000,2.000000,10000,2.0000,1.0000,3
0.050000,2.000000,30000,2.0000,1.0000,3
0.050000,2.000000,100000,2.0000,1.0000,3
0.050000,2.000000,200000,2.0000,1.0000,3
0.050000,3.000000,10000,2.0000,1.0000,3
0.050000,3.000000,30000,2.0000,1.0000,3
0.050000,3.000000,100000,2.0000,1.0000,3
0.050000,3.000000,200000,2.0000,1.0000,3
0.050000,4.000000,10000,2.0000,1.0000,3
0.050000,4.000000,30000,2.0000,1.0000,3
0.050000,4.000000,100000,2.0000,1.0000,3
0.050000,4.000000,200000,2.0000,1.0000,3
0.100000,2.000000,10000,2.0000,1.0000,3
0.100000,2.000000,30000,2.0000,1.0000,3
0.100000,2.000000,100000,2.0000,1.0000,3
0.100000,2.000000,200000,2.0000,1.0000,3
0.100000,3.000000,10000,2.0000,1.0000,3
0.100000,3.000000,30000,2.0000,1.0000,3
0.100000,3.000000,100000,2.0000,1.0000,3
0.100000,3.000000,200000,2.0000,1.0000,3
0.100000,4.000000,10000,2.0000,1.0000,3
0.100000,4.000000,30000,2.0000,1.0000,3
0.100000,4.000000,100000,2.0000,1.0000,3
0.100000,4.000000,200000,2.0000,1.0000,3
