gap_mm,freq_hz,target_bn_t,kd_all,r2_all,n
2.000000,10000,0.100000,1.2623,0.8188,4
2.000000,10000,0.500000,1.2623,0.8188,4
2.000000,10000,1.000000,1.2623,0.8188,4
2.000000,30000,0.100000,1.1168,0.9158,4
2.000000,30000,0.500000,1.1168,0.9158,4
2.000000,30000,1.000000,1.1168,0.9158,4
2.000000,100000,0.100000,0.9519,0.9507,4
2.000000,100000,0.500000,0.9520,0.9508,4
2.000000,100000,1.000000,0.9519,0.9507,4
2.000000,200000,0.100000,1.1719,0.4474,4
2.000000,200000,0.500000,1.1718,0.4475,4
2.000000,200000,1.000000,1.1719,0.4474,4
3.000000,10000,0.100000,1.4006,0.8966,4
3.000000,10000,0.500000,1.4006,0.8966,4
3.000000,10000,1.000000,1.4006,0.8966,4
3.000000,30000,0.100000,0.9341,0.7686,4
3.000000,30000,0.500000,0.9341,0.7685,4
3.000000,30000,1.000000,0.9341,0.7686,4
3.000000,100000,0.100000,0.7117,0.7174,4
3.000000,100000,0.500000,0.7116,0.7173,4
3.000000,100000,1.000000,0.7117,0.7174,4
3.000000,200000,0.100000,0.8354,0.6860,4
3.000000,200000,0.500000,0.8354,0.6860,4
3.000000,200000,1.000000,0.8354,0.6860,4
4.000000,10000,0.100000,1.4691,0.9251,4
4.000000,10000,0.500000,1.4691,0.9251,4
4.000000,10000,1.000000,1.4691,0.9251,4
4.000000,30000,0.100000,0.7144,0.4872,4
4.000000,30000,0.500000,0.7144,0.4872,4
4.000000,30000,1.000000,0.7144,0.4872,4
4.000000,100000,0.100000,0.4602,0.2758,4
4.000000,100000,0.500000,0.4603,0.2760,4
4.000000,100000,1.000000,0.4602,0.2758,4
4.000000,200000,0.100000,0.6101,0.6776,4
4.000000,200000,0.500000,0.6101,0.6777,4
4.000000,200000,1.000000,0.6101,0.6776,4
