d_lam_mm,gap_mm,target_bn_t,alpha_all,r2_all,n
0.010000,2.000000,0.100000,1.9738,0.9999,4
0.010000,2.000000,0.500000,1.9738,0.9999,4
0.010000,2.000000,1.000000,1.9738,0.9999,4
0.010000,3.000000,0.100000,1.9761,0.9999,4
0.010000,3.000000,0.500000,1.9761,0.9999,4
0.010000,3.000000,1.000000,1.9761,0.9999,4
0.010000,4.000000,0.100000,1.9776,0.9999,4
0.010000,4.000000,0.500000,1.9776,0.9999,4
0.010000,4.000000,1.000000,1.9776,0.9999,4
0.025000,2.000000,0.100000,0.9120,0.5849,4
0.025000,2.000000,0.500000,0.9123,0.5852,4
0.025000,2.000000,1.000000,0.9120,0.5849,4
0.025000,3.000000,0.100000,1.2902,0.9005,4
0.025000,3.000000,0.500000,1.2902,0.9005,4
0.025000,3.000000,1.000000,1.2902,0.9005,4
0.025000,4.000000,0.100000,1.4016,0.9442,4
0.025000,4.000000,0.500000,1.4016,0.9442,4
0.025000,4.000000,1.000000,1.4016,0.9442,4
0.050000,2.000000,0.100000,1.3219,0.9915,4
0.050000,2.000000,0.500000,1.3219,0.9915,4
0.050000,2.000000,1.000000,1.3219,0.9915,4
0.050000,3.000000,0.100000,1.1021,0.9624,4
0.050000,3.000000,0.500000,1.1021,0.9624,4
0.050000,3.000000,1.000000,1.1021,0.9624,4
0.050000,4.000000,0.100000,0.8640,0.8188,4
0.050000,4.000000,0.500000,0.8642,0.8190,4
0.050000,4.000000,1.000000,0.8640,0.8188,4
0.100000,2.000000,0.100000,1.7943,0.9989,4
0.100000,2.000000,0.500000,1.7943,0.9989,4
0.100000,2.000000,1.000000,1.7943,0.9989,4
0.100000,3.000000,0.100000,1.5901,0.9891,4
0.100000,3.000000,0.500000,1.5901,0.9891,4
0.100000,3.000000,1.000000,1.5901,0.9891,4
0.100000,4.000000,0.100000,1.4611,0.9363,4
0.100000,4.000000,0.500000,1.4610,0.9363,4
0.100000,4.000000,1.000000,1.4611,0.9363,4
