d_lam_mm,freq_hz,target_bn_t,gamma_all,r2_all,n
0.010000,10000,0.100000,0.3297,0.9989,3
0.010000,10000,0.500000,0.3297,0.9989,3
0.010000,10000,1.000000,0.3297,0.9989,3
0.010000,30000,0.100000,0.3300,0.9989,3
0.010000,30000,0.500000,0.3300,0.9989,3
0.010000,30000,1.000000,0.3300,0.9989,3
0.010000,100000,0.100000,0.3343,0.9989,3
0.010000,100000,0.500000,0.3343,0.9989,3
0.010000,100000,1.000000,0.3343,0.9989,3
0.010000,200000,0.100000,0.3484,0.9991,3
0.010000,200000,0.500000,0.3484,0.9991,3
0.010000,200000,1.000000,0.3484,0.9991,3
0.025000,10000,0.100000,0.3314,0.9989,3
0.025000,10000,0.500000,0.3314,0.9989,3
0.025000,10000,1.000000,0.3314,0.9989,3
0.025000,30000,0.100000,0.3461,0.9991,3
0.025000,30000,0.500000,0.3461,0.9991,3
0.025000,30000,1.000000,0.3461,0.9991,3
0.025000,100000,0.100000,0.5391,1.0000,3
0.025000,100000,0.500000,0.5391,1.0000,3
0.025000,100000,1.000000,0.5391,1.0000,3
0.025000,200000,0.100000,2.9448,0.9659,3
0.025000,200000,0.500000,2.9436,0.9659,3
0.025000,200000,1.000000,2.9448,0.9659,3
0.050000,10000,0.100000,0.3592,0.9992,3
0.050000,10000,0.500000,0.3591,0.9992,3
0.050000,10000,1.000000,0.3592,0.9992,3
0.050000,30000,0.100000,0.6589,0.9999,3
0.050000,30000,0.500000,0.6590,0.9999,3
0.050000,30000,1.000000,0.6589,0.9999,3
0.050000,100000,0.100000,-1.6357,0.9624,3
0.050000,100000,0.500000,-1.6353,0.9625,3
0.050000,100000,1.000000,-1.6357,0.9624,3
0.050000,200000,0.100000,-0.9842,0.9837,3
0.050000,200000,0.500000,-0.9838,0.9838,3
0.050000,200000,1.000000,-0.9842,0.9837,3
0.100000,10000,0.100000,1.1174,0.9967,3
0.100000,10000,0.500000,1.1175,0.9967,3
0.100000,10000,1.000000,1.1174,0.9967,3
0.100000,30000,0.100000,-1.3026,0.9741,3
0.100000,30000,0.500000,-1.3024,0.9741,3
0.100000,30000,1.000000,-1.3026,0.9741,3
0.100000,100000,0.100000,-0.7477,0.9898,3
0.100000,100000,0.500000,-0.7479,0.9898,3
0.100000,100000,1.000000,-0.7477,0.9898,3
0.100000,200000,0.100000,-0.6247,0.9925,3
0.100000,200000,0.500000,-0.6247,0.9925,3
0.100000,200000,1.000000,-0.6247,0.9925,3
