d_lam_mm,gap_mm,freq_hz,target_bn_t,bn_mean_lt0,p_side_lt0,p_side_lt2,dp_abs_w,dp_pct,bx_gapface_t,bx_mid_t
0.010000,2.000000,10000,0.100000,1.001348e-01,3.145053e-03,3.103155e-03,-4.189800e-05,-1.3322,1.811861e-08,4.052041e-03
0.010000,2.000000,10000,0.500000,5.006741e-01,7.862633e-02,7.757887e-02,-1.047460e-03,-1.3322,9.059306e-08,2.026020e-02
0.010000,2.000000,10000,1.000000,1.001348e+00,3.145053e-01,3.103155e-01,-4.189800e-03,-1.3322,1.811861e-07,4.052041e-02
0.010000,2.000000,30000,0.100000,1.001348e-01,2.830250e-02,2.792609e-02,-3.764100e-04,-1.3300,1.814136e-08,4.057873e-03
0.010000,2.000000,30000,0.500000,5.006741e-01,7.075624e-01,6.981523e-01,-9.410100e-03,-1.3299,9.070679e-08,2.028936e-02
0.010000,2.000000,30000,1.000000,1.001348e+00,2.830250e+00,2.792609e+00,-3.764100e-02,-1.3300,1.814136e-07,4.057873e-02
0.010000,2.000000,100000,0.100000,1.001348e-01,3.140959e-01,3.099981e-01,-4.097800e-03,-1.3046,1.839508e-08,4.122654e-03
0.010000,2.000000,100000,0.500000,5.006741e-01,7.852397e+00,7.749954e+00,-1.024430e-01,-1.3046,9.197539e-08,2.061327e-02
0.010000,2.000000,100000,1.000000,1.001348e+00,3.140959e+01,3.099981e+01,-4.097800e-01,-1.3046,1.839508e-07,4.122654e-02
0.010000,2.000000,200000,0.100000,1.001348e-01,1.251462e+00,1.236117e+00,-1.534500e-02,-1.2262,1.918110e-08,4.317805e-03
0.010000,2.000000,200000,0.500000,5.006740e-01,3.128655e+01,3.090293e+01,-3.836200e-01,-1.2261,9.590551e-08,2.158903e-02
0.010000,2.000000,200000,1.000000,1.001348e+00,1.251462e+02,1.236117e+02,-1.534500e+00,-1.2262,1.918110e-07,4.317805e-02
0.010000,3.000000,10000,0.100000,1.002017e-01,3.125670e-03,3.078079e-03,-4.759100e-05,-1.5226,1.020381e-07,3.733686e-03
0.010000,3.000000,10000,0.500000,5.010085e-01,7.814174e-02,7.695198e-02,-1.189760e-03,-1.5226,5.101907e-07,1.866843e-02
0.010000,3.000000,10000,1.000000,1.002017e+00,3.125670e-01,3.078079e-01,-4.759100e-03,-1.5226,1.020381e-06,3.733686e-02
0.010000,3.000000,30000,0.100000,1.002017e-01,2.812806e-02,2.770045e-02,-4.276100e-04,-1.5202,1.020764e-07,3.739718e-03
0.010000,3.000000,30000,0.500000,5.010085e-01,7.032015e-01,6.925113e-01,-1.069020e-02,-1.5202,5.103820e-07,1.869859e-02
