case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,y_mm,bx_abs_t,by_abs_t
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,14.000000,3.243921e-02,8.631327e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,14.426000,3.097122e-02,8.800713e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,14.852000,2.950323e-02,8.970099e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,15.278000,2.803524e-02,9.139486e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,15.704000,2.647226e-02,9.304123e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,16.130000,2.454705e-02,9.404226e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,16.556000,2.270328e-02,9.505913e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,16.982000,2.085033e-02,9.619774e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,17.408000,1.909640e-02,9.721698e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,17.834000,1.742977e-02,9.793700e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,18.260000,1.576203e-02,9.855193e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,18.686000,1.441578e-02,9.894641e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,19.112000,1.328011e-02,9.919652e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,19.538000,1.209088e-02,9.943078e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,19.964000,1.082520e-02,9.952076e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,20.390000,1.007123e-02,9.929344e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,20.816000,9.360599e-03,9.927609e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,21.242000,8.649964e-03,9.925874e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,21.668000,7.939329e-03,9.924139e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,22.094000,7.228694e-03,9.922404e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,22.520000,6.518060e-03,9.920670e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,22.946000,5.833207e-03,9.938146e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,23.372000,5.149472e-03,9.956455e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,23.798000,4.405488e-03,9.920287e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,24.224000,3.658559e-03,9.881456e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,24.650000,2.911629e-03,9.842624e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,25.076000,2.683677e-03,9.810931e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,25.502000,2.500755e-03,9.779856e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,25.928000,2.225444e-03,9.729242e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,26.354000,1.932990e-03,9.675002e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,26.780000,1.723236e-03,9.614100e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,27.206000,1.553876e-03,9.549944e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,27.632000,1.384515e-03,9.485788e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,28.058000,1.288383e-03,9.427232e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,28.484000,1.251289e-03,9.361114e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,28.910000,1.114681e-03,9.276634e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,29.336000,9.088929e-04,9.193881e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,29.762000,7.031046e-04,9.111128e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,30.188000,5.571945e-04,9.018719e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,30.614000,6.169686e-04,8.893142e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,31.040000,6.767427e-04,8.767565e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,31.466000,5.427375e-04,8.634387e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,31.892000,3.888378e-04,8.494908e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,32.318000,2.349381e-04,8.355429e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,32.744000,1.226834e-04,8.213969e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,33.170000,2.401553e-04,8.061579e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,33.596000,3.576272e-04,7.909190e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,34.022000,4.750990e-04,7.756800e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,34.448000,1.506580e-08,7.657353e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,34.874000,6.273312e-09,7.657353e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,35.300000,2.521848e-09,7.657353e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,35.726000,1.131345e-08,7.657353e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,36.152000,2.010615e-08,7.657353e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,36.578000,2.628427e-04,7.759989e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,37.004000,2.348739e-04,7.917265e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,37.430000,2.069052e-04,8.074542e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,37.856000,3.327316e-04,8.225865e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,38.282000,5.916552e-04,8.372036e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,38.708000,7.215379e-04,8.516267e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,39.134000,6.361085e-04,8.657264e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,39.560000,5.394331e-04,8.791382e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,39.986000,3.825357e-04,8.888661e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,40.412000,2.256384e-04,8.985941e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,40.838000,2.316919e-04,9.093655e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,41.264000,3.845151e-04,9.210768e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,41.690000,6.055470e-04,9.309715e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,42.116000,9.705828e-04,9.370311e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,42.542000,1.335619e-03,9.430906e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,42.968000,1.571806e-03,9.497401e-02
