case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,bx_gapface_t,by_gapface_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,0,0,3.053050e+01,1.001348e-01,4.051310e-03,9.901874e-02,1.812055e-08,7.657354e-02,1.283962e-05,8.067373e-01,1.597795e-01,6.289866e-03,3.145053e-03
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,0,0,1.526525e+02,5.006741e-01,2.025655e-02,4.950937e-01,9.060276e-08,3.828677e-01,1.283962e-05,8.067373e-01,3.994488e+00,1.572467e-01,7.862633e-02
B30003,LT0_OFF,2.000000,10000,1.000000,0.010000,0,0,3.053050e+02,1.001348e+00,4.051310e-02,9.901874e-01,1.812055e-07,7.657354e-01,1.283962e-05,8.067373e-01,1.597795e+01,6.289866e-01,3.145053e-01
B30004,LT0_OFF,2.000000,30000,0.100000,0.010000,0,0,3.053052e+01,1.001348e-01,4.051310e-03,9.901874e-02,1.815879e-08,7.657354e-02,1.283961e-05,2.420210e+00,3.722612e-01,5.660283e-02,2.830250e-02
B30005,LT0_OFF,2.000000,30000,0.500000,0.010000,0,0,1.526526e+02,5.006741e-01,2.025655e-02,4.950937e-01,9.079395e-08,3.828677e-01,1.283961e-05,2.420210e+00,9.306531e+00,1.415071e+00,7.075624e-01
B30006,LT0_OFF,2.000000,30000,1.000000,0.010000,0,0,3.053052e+02,1.001348e+00,4.051310e-02,9.901874e-01,1.815879e-07,7.657354e-01,1.283961e-05,2.420210e+00,3.722612e+01,5.660283e+00,2.830250e+00
B30007,LT0_OFF,2.000000,100000,0.100000,0.010000,0,0,3.053078e+01,1.001348e-01,4.051313e-03,9.901874e-02,1.858746e-08,7.657354e-02,1.283950e-05,8.067298e+00,2.786631e+00,6.281678e-01,3.140959e-01
B30008,LT0_OFF,2.000000,100000,0.500000,0.010000,0,0,1.526539e+02,5.006741e-01,2.025657e-02,4.950937e-01,9.293732e-08,3.828677e-01,1.283950e-05,8.067298e+00,6.966576e+01,1.570419e+01,7.852397e+00
B30009,LT0_OFF,2.000000,100000,1.000000,0.010000,0,0,3.053078e+02,1.001348e+00,4.051313e-02,9.901874e-01,1.858746e-07,7.657354e-01,1.283950e-05,8.067298e+00,2.786631e+02,6.281678e+01,3.140959e+01
B30010,LT0_OFF,2.000000,200000,0.100000,0.010000,0,0,3.053161e+01,1.001348e-01,4.051322e-03,9.901872e-02,1.992653e-08,7.657357e-02,1.283915e-05,1.613415e+01,1.071229e+01,2.502828e+00,1.251462e+00
B30011,LT0_OFF,2.000000,200000,0.500000,0.010000,0,0,1.526581e+02,5.006740e-01,2.025661e-02,4.950936e-01,9.963265e-08,3.828679e-01,1.283915e-05,1.613415e+01,2.678072e+02,6.257070e+01,3.128655e+01
B30012,LT0_OFF,2.000000,200000,1.000000,0.010000,0,0,3.053161e+02,1.001348e+00,4.051322e-02,9.901872e-01,1.992653e-07,7.657357e-01,1.283915e-05,1.613415e+01,1.071229e+03,2.502828e+02,1.251462e+02
B30013,LT0_OFF,3.000000,10000,0.100000,0.010000,0,0,4.222405e+01,1.002017e-01,3.732931e-03,9.858619e-02,1.020331e-07,7.065843e-02,9.283809e-06,5.833192e-01,2.994695e-01,6.252620e-03,3.125670e-03
B30014,LT0_OFF,3.000000,10000,0.500000,0.010000,0,0,2.111203e+02,5.010085e-01,1.866465e-02,4.929310e-01,5.101653e-07,3.532922e-01,9.283809e-06,5.833192e-01,7.486738e+00,1.563155e-01,7.814174e-02
B30015,LT0_OFF,3.000000,10000,1.000000,0.010000,0,0,4.222405e+02,1.002017e+00,3.732931e-02,9.858619e-01,1.020331e-06,7.065843e-01,9.283809e-06,5.833192e-01,2.994695e+01,6.252620e-01,3.125670e-01
B30016,LT0_OFF,3.000000,30000,0.100000,0.010000,0,0,4.222407e+01,1.002017e-01,3.732931e-03,9.858619e-02,1.020307e-07,7.065843e-02,9.283804e-06,1.749956e+00,6.567386e-01,5.626765e-02,2.812806e-02
B30017,LT0_OFF,3.000000,30000,0.500000,0.010000,0,0,2.111204e+02,5.010085e-01,1.866466e-02,4.929310e-01,5.101533e-07,3.532922e-01,9.283804e-06,1.749956e+00,1.641846e+01,1.406691e+00,7.032015e-01
B30018,LT0_OFF,3.000000,30000,1.000000,0.010000,0,0,4.222407e+02,1.002017e+00,3.732931e-02,9.858619e-01,1.020307e-06,7.065843e-01,9.283804e-06,1.749956e+00,6.567386e+01,5.626765e+00,2.812806e+00
B30019,LT0_OFF,3.000000,100000,0.100000,0.010000,0,0,4.222433e+01,1.002017e-01,3.732934e-03,9.858619e-02,1.020035e-07,7.065844e-02,9.283748e-06,5.833151e+00,4.716385e+00,6.244480e-01,3.121600e-01
B30020,LT0_OFF,3.000000,100000,0.500000,0.010000,0,0,2.111216e+02,5.010084e-01,1.866467e-02,4.929309e-01,5.100175e-07,3.532922e-01,9.283748e-06,5.833151e+00,1.179096e+02,1.561120e+01,7.804001e+00
B30021,LT0_OFF,3.000000,100000,1.000000,0.010000,0,0,4.222433e+02,1.002017e+00,3.732934e-02,9.858619e-01,1.020035e-06,7.065844e-01,9.283748e-06,5.833151e+00,4.716385e+02,6.244480e+01,3.121600e+01
B30022,LT0_OFF,3.000000,200000,0.100000,0.010000,0,0,4.222516e+01,1.002017e-01,3.732942e-03,9.858617e-02,1.019149e-07,7.065847e-02,9.283564e-06,1.166607e+01,1.804427e+01,2.488007e+00,1.243749e+00
B30023,LT0_OFF,3.000000,200000,0.500000,0.010000,0,0,2.111258e+02,5.010084e-01,1.866471e-02,4.929309e-01,5.095747e-07,3.532923e-01,9.283564e-06,1.166607e+01,4.511068e+02,6.220018e+01,3.109372e+01
B30024,LT0_OFF,3.000000,200000,1.000000,0.010000,0,0,4.222516e+02,1.002017e+00,3.732942e-02,9.858617e-01,1.019149e-06,7.065847e-01,9.283564e-06,1.166607e+01,1.804427e+03,2.488007e+02,1.243749e+02
B30025,LT0_OFF,4.000000,10000,0.100000,0.010000,0,0,5.259782e+01,1.002779e-01,3.630471e-03,9.881028e-02,4.345482e-06,6.601353e-02,7.452781e-06,4.682724e-01,4.603126e-01,6.228591e-03,3.114493e-03
B30026,LT0_OFF,4.000000,10000,0.500000,0.010000,0,0,2.629891e+02,5.013895e-01,1.815236e-02,4.940514e-01,2.172741e-05,3.300677e-01,7.452781e-06,4.682724e-01,1.150782e+01,1.557148e-01,7.786233e-02
B30027,LT0_OFF,4.000000,10000,1.000000,0.010000,0,0,5.259782e+02,1.002779e+00,3.630471e-02,9.881028e-01,4.345482e-05,6.601353e-01,7.452781e-06,4.682724e-01,4.603126e+01,6.228591e-01,3.114493e-01
