case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx,grid_n
B40001,LT0_OFF,2.000000,10000,0.500000,0.025000,0,0,1.526530e+02,5.006741e-01,2.025656e-02,4.950937e-01,1.283957e-05,8.067346e-01,4.737614e+00,9.822991e-01,4.911683e-01,0.01736005,120
B40002,LT0_OFF,2.000000,10000,1.000000,0.025000,0,0,3.053061e+02,1.001348e+00,4.051311e-02,9.901874e-01,1.283957e-05,8.067346e-01,1.895046e+01,3.929196e+00,1.964673e+00,0.01736005,120
B40003,LT0_OFF,2.000000,30000,0.500000,0.025000,0,0,1.526574e+02,5.006741e-01,2.025661e-02,4.950936e-01,1.283921e-05,2.420134e+00,1.596224e+01,8.804564e+00,4.402450e+00,0.01736003,120
B40004,LT0_OFF,2.000000,30000,1.000000,0.025000,0,0,3.053148e+02,1.001348e+00,4.051321e-02,9.901873e-01,1.283921e-05,2.420134e+00,6.384895e+01,3.521825e+01,1.760980e+01,0.01736003,120
B40005,LT0_OFF,2.000000,100000,0.500000,0.025000,0,0,1.527034e+02,5.006736e-01,2.025712e-02,4.950929e-01,1.283534e-05,8.064681e+00,1.398271e+02,9.360397e+01,4.680377e+01,0.01735979,120
B40006,LT0_OFF,2.000000,100000,1.000000,0.025000,0,0,3.054069e+02,1.001347e+00,4.051424e-02,9.901857e-01,1.283534e-05,8.064681e+00,5.593083e+02,3.744159e+02,1.872151e+02,0.01735979,120
B40007,LT0_OFF,2.000000,200000,0.500000,0.025000,0,0,1.528210e+02,5.006724e-01,2.025843e-02,4.950909e-01,1.282547e-05,1.611696e+01,5.105101e+02,3.320753e+02,1.660440e+02,0.01735920,120
B40008,LT0_OFF,2.000000,200000,1.000000,0.025000,0,0,3.056419e+02,1.001345e+00,4.051685e-02,9.901818e-01,1.282547e-05,1.611696e+01,2.042040e+03,1.328301e+03,6.641760e+02,0.01735920,120
B40009,LT0_OFF,2.500000,10000,0.500000,0.025000,0,0,1.828712e+02,5.008462e-01,2.003893e-02,4.935961e-01,1.071793e-05,6.734276e-01,6.404889e+00,9.789371e-01,4.894255e-01,0.01830823,120
B40010,LT0_OFF,2.500000,10000,1.000000,0.025000,0,0,3.657424e+02,1.001692e+00,4.007786e-02,9.871923e-01,1.071793e-05,6.734276e-01,2.561956e+01,3.915748e+00,1.957702e+00,0.01830823,120
B40011,LT0_OFF,2.500000,30000,0.500000,0.025000,0,0,1.828755e+02,5.008461e-01,2.003897e-02,4.935961e-01,1.071767e-05,2.020234e+00,1.937516e+01,8.774429e+00,4.386829e+00,0.01830821,120
B40012,LT0_OFF,2.500000,30000,1.000000,0.025000,0,0,3.657511e+02,1.001692e+00,4.007794e-02,9.871921e-01,1.071767e-05,2.020234e+00,7.750066e+01,3.509772e+01,1.754731e+01,0.01830821,120
B40013,LT0_OFF,2.500000,100000,0.500000,0.025000,0,0,1.829216e+02,5.008457e-01,2.003943e-02,4.935953e-01,1.071497e-05,6.732417e+00,1.630718e+02,9.328360e+01,4.663770e+01,0.01830797,120
B40014,LT0_OFF,2.500000,100000,1.000000,0.025000,0,0,3.658432e+02,1.001691e+00,4.007887e-02,9.871905e-01,1.071497e-05,6.732417e+00,6.522872e+02,3.731344e+02,1.865508e+02,0.01830797,120
B40015,LT0_OFF,2.500000,200000,0.500000,0.025000,0,0,1.830391e+02,5.008445e-01,2.004062e-02,4.935932e-01,1.070809e-05,1.345619e+01,5.988252e+02,3.309387e+02,1.654548e+02,0.01830737,120
B40016,LT0_OFF,2.500000,200000,1.000000,0.025000,0,0,3.660783e+02,1.001689e+00,4.008123e-02,9.871864e-01,1.070809e-05,1.345619e+01,2.395301e+03,1.323755e+03,6.618191e+02,0.01830737,120
B40017,LT0_OFF,3.000000,10000,0.500000,0.025000,0,0,2.111208e+02,5.010085e-01,1.866466e-02,4.929310e-01,9.283785e-06,5.833178e-01,8.231758e+00,9.764823e-01,4.881411e-01,0.01959884,120
