gap_mm,freq_hz,bn_mean_t,p_side_w,f_bx,p_x_w,p_y_w,px_pct
2.000,10000,1.001348e+00,1.964673e+00,0.01736005,3.410682e-02,1.930566e+00,1.7360
2.000,30000,1.001348e+00,1.760980e+01,0.01736003,3.057067e-01,1.730409e+01,1.7360
2.000,100000,1.001347e+00,1.872151e+02,0.01735979,3.250015e+00,1.839651e+02,1.7360
2.000,200000,1.001345e+00,6.641760e+02,0.01735920,1.152956e+01,6.526464e+02,1.7359
2.500,10000,1.001692e+00,1.957702e+00,0.01830823,3.584206e-02,1.921860e+00,1.8308
2.500,30000,1.001692e+00,1.754731e+01,0.01830821,3.212598e-01,1.722605e+01,1.8308
2.500,100000,1.001691e+00,1.865508e+02,0.01830797,3.415366e+00,1.831354e+02,1.8308
2.500,200000,1.001689e+00,6.618191e+02,0.01830737,1.211617e+01,6.497029e+02,1.8307
3.000,10000,1.002017e+00,1.952564e+00,0.01959884,3.826799e-02,1.914296e+00,1.9599
3.000,30000,1.002017e+00,1.750127e+01,0.01959882,3.430042e-01,1.715827e+01,1.9599
3.000,100000,1.002016e+00,1.860612e+02,0.01959858,3.646535e+00,1.824147e+02,1.9599
3.000,200000,1.002014e+00,6.600821e+02,0.01959796,1.293626e+01,6.471458e+02,1.9598
3.500,10000,1.002392e+00,1.948880e+00,0.02075284,4.044479e-02,1.908435e+00,2.0753
3.500,30000,1.002392e+00,1.746824e+01,0.02075281,3.625151e-01,1.710572e+01,2.0753
3.500,100000,1.002391e+00,1.857101e+02,0.02075256,3.853960e+00,1.818561e+02,2.0753
3.500,200000,1.002389e+00,6.588364e+02,0.02075192,1.367212e+01,6.451643e+02,2.0752
4.000,10000,1.002779e+00,1.945583e+00,0.02193680,4.267987e-02,1.902903e+00,2.1937
4.000,30000,1.002779e+00,1.743869e+01,0.02193677,3.825485e-01,1.705614e+01,2.1937
4.000,100000,1.002778e+00,1.853959e+02,0.02193651,4.066939e+00,1.813290e+02,2.1937
4.000,200000,1.002776e+00,6.577215e+02,0.02193585,1.442768e+01,6.432938e+02,2.1936
5.000,10000,1.003526e+00,1.941457e+00,0.02401961,4.663304e-02,1.894824e+00,2.4020
5.000,30000,1.003526e+00,1.740170e+01,0.02401959,4.179817e-01,1.698372e+01,2.4020
5.000,100000,1.003525e+00,1.850027e+02,0.02401931,4.443637e+00,1.805591e+02,2.4019
5.000,200000,1.003523e+00,6.563264e+02,0.02401861,1.576405e+01,6.405624e+02,2.4019
6.000,10000,1.004091e+00,1.938634e+00,0.02551268,4.945975e-02,1.889174e+00,2.5513
6.000,30000,1.004091e+00,1.737641e+01,0.02551265,4.433183e-01,1.693309e+01,2.5513
6.000,100000,1.004090e+00,1.847337e+02,0.02551238,4.712996e+00,1.800207e+02,2.5512
6.000,200000,1.004088e+00,6.553720e+02,0.02551168,1.671964e+01,6.386524e+02,2.5512
