case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx_grid,grid_n,px_bessel_w,py_tanh_w,f_bx_mesh
B50001,LT2_ON,2.000000,10000,0.500000,0.025000,2,1,1.526528e+02,5.006741e-01,2.039794e-02,4.950713e-01,1.283959e-05,8.067357e-01,4.731079e+00,9.693403e-01,4.846776e-01,0.01729544,120,3.92978021e-03,4.80747794e-01,0.02132680
B50002,LT2_ON,2.000000,10000,1.000000,0.025000,2,1,3.053056e+02,1.001348e+00,4.079588e-02,9.901425e-01,1.283959e-05,8.067357e-01,1.892432e+01,3.877361e+00,1.938710e+00,0.01729544,120,1.57191209e-02,1.92299118e+00,0.02132680
B50003,LT2_ON,2.000000,30000,0.500000,0.025000,2,1,1.526554e+02,5.006741e-01,2.144028e-02,4.948907e-01,1.283938e-05,2.420166e+00,1.590459e+01,8.695729e+00,4.347933e+00,0.01738847,120,3.54142947e-02,4.31251905e+00,0.02137250
B50004,LT2_ON,2.000000,30000,1.000000,0.025000,2,1,3.053108e+02,1.001348e+00,4.288055e-02,9.897814e-01,1.283938e-05,2.420166e+00,6.361838e+01,3.478292e+01,1.739173e+01,0.01738847,120,1.41657179e-01,1.72500762e+01,0.02137250
B50005,LT2_ON,2.000000,100000,0.500000,0.025000,2,1,1.526827e+02,5.006745e-01,2.765599e-02,4.929846e-01,1.283708e-05,8.065775e+00,1.392990e+02,9.299934e+01,4.650057e+01,0.01774975,120,3.88024732e-01,4.61125438e+01,0.02135021
B50006,LT2_ON,2.000000,100000,1.000000,0.025000,2,1,3.053654e+02,1.001349e+00,5.531198e-02,9.859693e-01,1.283708e-05,8.065775e+00,5.571959e+02,3.719974e+02,1.860023e+02,0.01774975,120,1.55209893e+00,1.84450175e+02,0.02135021
B50007,LT2_ON,2.000000,200000,0.500000,0.025000,2,1,1.527541e+02,5.006754e-01,3.227278e-02,4.897012e-01,1.283108e-05,1.612401e+01,5.090295e+02,3.319565e+02,1.659819e+02,0.01770448,120,1.44101545e+00,1.64540922e+02,0.02085332
B50008,LT2_ON,2.000000,200000,1.000000,0.025000,2,1,3.055082e+02,1.001351e+00,6.454555e-02,9.794024e-01,1.283108e-05,1.612401e+01,2.036118e+03,1.327826e+03,6.639278e+02,0.01770448,120,5.76406181e+00,6.58163689e+02,0.02085332
B50009,LT2_ON,2.500000,10000,0.500000,0.025000,2,1,1.828710e+02,5.008462e-01,2.018090e-02,4.935668e-01,1.071794e-05,6.734283e-01,6.397904e+00,9.650643e-01,4.824925e-01,0.01822165,120,4.19547241e-03,4.78297063e-01,0.02284975
B50010,LT2_ON,2.500000,10000,1.000000,0.025000,2,1,3.657419e+02,1.001692e+00,4.036179e-02,9.871335e-01,1.071794e-05,6.734283e-01,2.559162e+01,3.860257e+00,1.929970e+00,0.01822165,120,1.67818896e-02,1.91318825e+00,0.02284975
