gap_mm,freq_hz,bn_mean_t,p_side_w,px_bessel_w,py_tanh_w,f_bx_mesh,px_pct
2.000,10000,1.001348e+00,1.938710e+00,1.571912e-02,1.922991e+00,0.021327,0.8108
2.000,30000,1.001348e+00,1.739173e+01,1.416572e-01,1.725008e+01,0.021372,0.8145
2.000,100000,1.001349e+00,1.860023e+02,1.552099e+00,1.844502e+02,0.021350,0.8345
2.000,200000,1.001351e+00,6.639278e+02,5.764062e+00,6.581637e+02,0.020853,0.8682
2.500,10000,1.001692e+00,1.929970e+00,1.678189e-02,1.913188e+00,0.022850,0.8695
2.500,30000,1.001692e+00,1.731361e+01,1.511517e-01,1.716246e+01,0.022886,0.8730
2.500,100000,1.001693e+00,1.851890e+02,1.651129e+00,1.835378e+02,0.022792,0.8916
2.500,200000,1.001695e+00,6.611197e+02,6.118976e+00,6.550007e+02,0.022213,0.9255
3.000,10000,1.002017e+00,1.923052e+00,1.785166e-02,1.905201e+00,0.024370,0.9283
3.000,30000,1.002017e+00,1.725184e+01,1.607018e-01,1.709114e+01,0.024396,0.9315
3.000,100000,1.002018e+00,1.845531e+02,1.750101e+00,1.828030e+02,0.024220,0.9483
3.000,200000,1.002019e+00,6.589613e+02,6.470559e+00,6.524907e+02,0.023548,0.9819
3.500,10000,1.002392e+00,1.917666e+00,1.887585e-02,1.898791e+00,0.025817,0.9843
3.500,30000,1.002393e+00,1.720397e+01,1.698763e-01,1.703410e+01,0.025837,0.9874
3.500,100000,1.002393e+00,1.840748e+02,1.847273e+00,1.822276e+02,0.025609,1.0035
3.500,200000,1.002395e+00,6.573851e+02,6.822986e+00,6.505622e+02,0.024870,1.0379
4.000,10000,1.002779e+00,1.912890e+00,1.976424e-02,1.893126e+00,0.027078,1.0332
4.000,30000,1.002779e+00,1.716130e+01,1.778162e-01,1.698348e+01,0.027090,1.0361
4.000,100000,1.002780e+00,1.836335e+02,1.930235e+00,1.817032e+02,0.026803,1.0511
4.000,200000,1.002781e+00,6.558811e+02,7.120495e+00,6.487606e+02,0.025997,1.0856
5.000,10000,1.003526e+00,1.905592e+00,2.167102e-02,1.883921e+00,0.029753,1.1372
5.000,30000,1.003526e+00,1.709640e+01,1.948508e-01,1.690155e+01,0.029748,1.1397
5.000,100000,1.003527e+00,1.829855e+02,2.108042e+00,1.808775e+02,0.029329,1.1520
5.000,200000,1.003529e+00,6.537620e+02,7.758969e+00,6.460030e+02,0.028379,1.1868
6.000,10000,1.004091e+00,1.900087e+00,2.328468e-02,1.876802e+00,0.032015,1.2255
6.000,30000,1.004091e+00,1.704755e+01,2.092720e-01,1.683828e+01,0.031995,1.2276
6.000,100000,1.004092e+00,1.825069e+02,2.258400e+00,1.802485e+02,0.031462,1.2374
6.000,200000,1.004093e+00,6.522421e+02,8.295670e+00,6.439464e+02,0.030377,1.2719
