mode,gap_mm,freq_hz,beta_core,beta_side,r2_core,r2_side,n
LT0_OFF,2.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.500000,10000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,3.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,4.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.500000,30000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,3.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,4.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.500000,100000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,3.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,4.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,2.500000,200000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,3.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT0_OFF,4.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.500000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,3.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,4.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.500000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,3.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,4.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.500000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,3.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,4.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,2.500000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,3.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_OFF,4.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.500000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,3.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,4.000000,10000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.500000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,3.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,4.000000,30000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.500000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,3.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,4.000000,100000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,2.500000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,3.000000,200000,2.000000,2.000000,1.000000,1.000000,6
LT2_ON,4.000000,200000,2.000000,2.000000,1.000000,1.000000,6
