mode,gap_mm,target_bn_t,alpha_core,alpha_side,r2_core,r2_side,n
LT0_OFF,2.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.500000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.500000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.500000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.500000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.500000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,2.500000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,3.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,3.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,3.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,3.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,3.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,3.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,4.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,4.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,4.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,4.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,4.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT0_OFF,4.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.500000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.500000,0.200000,1.961832,1.961832,0.999857,0.999857,4
