mode,freq_hz,target_bn_t,gamma_core,gamma_side,r2_core,r2_side,n
LT0_OFF,10000,0.100000,-0.014070,-0.014053,0.998802,0.996176,4
LT0_OFF,10000,0.200000,-0.014071,-0.014053,0.998801,0.996169,4
LT0_OFF,10000,0.400000,-0.014070,-0.014053,0.998801,0.996173,4
LT0_OFF,10000,0.800000,-0.014070,-0.014053,0.998805,0.996173,4
LT0_OFF,10000,1.000000,-0.014070,-0.014053,0.998802,0.996176,4
LT0_OFF,10000,1.300000,-0.014070,-0.014053,0.998802,0.996170,4
LT0_OFF,30000,0.100000,-0.014070,-0.014053,0.998804,0.996176,4
LT0_OFF,30000,0.200000,-0.014070,-0.014053,0.998803,0.996169,4
LT0_OFF,30000,0.400000,-0.014070,-0.014053,0.998802,0.996171,4
LT0_OFF,30000,0.800000,-0.014070,-0.014053,0.998802,0.996170,4
LT0_OFF,30000,1.000000,-0.014070,-0.014053,0.998804,0.996176,4
LT0_OFF,30000,1.300000,-0.014070,-0.014053,0.998801,0.996172,4
LT0_OFF,100000,0.100000,-0.014071,-0.014053,0.998802,0.996167,4
LT0_OFF,100000,0.200000,-0.014070,-0.014053,0.998803,0.996170,4
LT0_OFF,100000,0.400000,-0.014070,-0.014053,0.998803,0.996168,4
LT0_OFF,100000,0.800000,-0.014071,-0.014054,0.998801,0.996166,4
LT0_OFF,100000,1.000000,-0.014071,-0.014053,0.998802,0.996167,4
LT0_OFF,100000,1.300000,-0.014070,-0.014053,0.998802,0.996172,4
LT0_OFF,200000,0.100000,-0.014072,-0.014054,0.998802,0.996171,4
LT0_OFF,200000,0.200000,-0.014072,-0.014054,0.998803,0.996175,4
LT0_OFF,200000,0.400000,-0.014071,-0.014054,0.998805,0.996171,4
LT0_OFF,200000,0.800000,-0.014071,-0.014054,0.998803,0.996172,4
LT0_OFF,200000,1.000000,-0.014072,-0.014054,0.998802,0.996171,4
LT0_OFF,200000,1.300000,-0.014072,-0.014054,0.998802,0.996171,4
LT2_OFF,10000,0.100000,-0.014070,-0.014053,0.998802,0.996176,4
LT2_OFF,10000,0.200000,-0.014071,-0.014053,0.998801,0.996169,4
LT2_OFF,10000,0.400000,-0.014070,-0.014053,0.998801,0.996173,4
LT2_OFF,10000,0.800000,-0.014070,-0.014053,0.998805,0.996173,4
LT2_OFF,10000,1.000000,-0.014070,-0.014053,0.998802,0.996176,4
LT2_OFF,10000,1.300000,-0.014070,-0.014053,0.998802,0.996170,4
LT2_OFF,30000,0.100000,-0.014070,-0.014053,0.998804,0.996176,4
LT2_OFF,30000,0.200000,-0.014070,-0.014053,0.998803,0.996169,4
LT2_OFF,30000,0.400000,-0.014070,-0.014053,0.998802,0.996171,4
LT2_OFF,30000,0.800000,-0.014070,-0.014053,0.998802,0.996170,4
LT2_OFF,30000,1.000000,-0.014070,-0.014053,0.998804,0.996176,4
LT2_OFF,30000,1.300000,-0.014070,-0.014053,0.998801,0.996172,4
LT2_OFF,100000,0.100000,-0.014071,-0.014053,0.998802,0.996167,4
LT2_OFF,100000,0.200000,-0.014070,-0.014053,0.998803,0.996170,4
LT2_OFF,100000,0.400000,-0.014070,-0.014053,0.998803,0.996168,4
LT2_OFF,100000,0.800000,-0.014071,-0.014054,0.998801,0.996166,4
LT2_OFF,100000,1.000000,-0.014071,-0.014053,0.998802,0.996167,4
LT2_OFF,100000,1.300000,-0.014070,-0.014053,0.998802,0.996172,4
LT2_OFF,200000,0.100000,-0.014072,-0.014054,0.998802,0.996171,4
LT2_OFF,200000,0.200000,-0.014072,-0.014054,0.998803,0.996175,4
LT2_OFF,200000,0.400000,-0.014071,-0.014054,0.998805,0.996171,4
LT2_OFF,200000,0.800000,-0.014071,-0.014054,0.998803,0.996172,4
LT2_OFF,200000,1.000000,-0.014072,-0.014054,0.998802,0.996171,4
LT2_OFF,200000,1.300000,-0.014072,-0.014054,0.998802,0.996171,4
LT2_ON,10000,0.100000,-0.019449,-0.019341,0.999962,0.999413,4
LT2_ON,10000,0.200000,-0.019450,-0.019340,0.999961,0.999411,4
LT2_ON,10000,0.400000,-0.019449,-0.019340,0.999962,0.999412,4
LT2_ON,10000,0.800000,-0.019449,-0.019340,0.999962,0.999412,4
LT2_ON,10000,1.000000,-0.019449,-0.019341,0.999962,0.999413,4
LT2_ON,10000,1.300000,-0.019449,-0.019340,0.999962,0.999412,4
LT2_ON,30000,0.100000,-0.019373,-0.019267,0.999958,0.999382,4
LT2_ON,30000,0.200000,-0.019373,-0.019267,0.999958,0.999383,4
LT2_ON,30000,0.400000,-0.019373,-0.019267,0.999958,0.999384,4
LT2_ON,30000,0.800000,-0.019373,-0.019267,0.999958,0.999382,4
LT2_ON,30000,1.000000,-0.019373,-0.019267,0.999958,0.999382,4
LT2_ON,30000,1.300000,-0.019373,-0.019267,0.999958,0.999383,4
LT2_ON,100000,0.100000,-0.018736,-0.018661,0.999914,0.999113,4
LT2_ON,100000,0.200000,-0.018737,-0.018661,0.999915,0.999112,4
