case_id,mode,gap_mm,freq_hz,target_bn_t,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0001,LT0_OFF,2.000000,10000,0.100000,0,0,3.053058e+01,1.001348e-01,4.051311e-03,9.901874e-02,1.283959e-05,8.067354e-01,1.840729e-01,3.326157e-02,1.663142e-02,0.000000e+00
C0002,LT0_OFF,2.000000,10000,0.200000,0,0,6.106115e+01,2.002696e-01,8.102622e-03,1.980375e-01,1.283959e-05,8.067354e-01,7.362916e-01,1.330463e-01,6.652568e-02,0.000000e+00
C0003,LT0_OFF,2.000000,10000,0.400000,0,0,1.221223e+02,4.005393e-01,1.620524e-02,3.960750e-01,1.283959e-05,8.067354e-01,2.945166e+00,5.321851e-01,2.661027e-01,0.000000e+00
C0004,LT0_OFF,2.000000,10000,0.800000,0,0,2.442446e+02,8.010786e-01,3.241049e-02,7.921499e-01,1.283959e-05,8.067354e-01,1.178066e+01,2.128740e+00,1.064411e+00,0.000000e+00
C0005,LT0_OFF,2.000000,10000,1.000000,0,0,3.053058e+02,1.001348e+00,4.051311e-02,9.901874e-01,1.283959e-05,8.067354e-01,1.840729e+01,3.326157e+00,1.663142e+00,0.000000e+00
C0006,LT0_OFF,2.000000,10000,1.300000,0,0,3.968975e+02,1.301753e+00,5.266704e-02,1.287244e+00,1.283959e-05,8.067354e-01,3.110832e+01,5.621205e+00,2.810710e+00,0.000000e+00
C0007,LT0_OFF,2.500000,10000,0.100000,0,0,3.657420e+01,1.001692e-01,4.007785e-03,9.871923e-02,1.071794e-05,6.734281e-01,2.507576e-01,3.314773e-02,1.657241e-02,0.000000e+00
C0008,LT0_OFF,2.500000,10000,0.200000,0,0,7.314841e+01,2.003385e-01,8.015571e-03,1.974385e-01,1.071794e-05,6.734281e-01,1.003030e+00,1.325909e-01,6.628963e-02,0.000000e+00
C0009,LT0_OFF,2.500000,10000,0.400000,0,0,1.462968e+02,4.006769e-01,1.603114e-02,3.948769e-01,1.071794e-05,6.734281e-01,4.012122e+00,5.303636e-01,2.651585e-01,0.000000e+00
C0010,LT0_OFF,2.500000,10000,0.800000,0,0,2.925936e+02,8.013539e-01,3.206228e-02,7.897538e-01,1.071794e-05,6.734281e-01,1.604849e+01,2.121455e+00,1.060634e+00,0.000000e+00
C0011,LT0_OFF,2.500000,10000,1.000000,0,0,3.657420e+02,1.001692e+00,4.007785e-02,9.871923e-01,1.071794e-05,6.734281e-01,2.507576e+01,3.314773e+00,1.657241e+00,0.000000e+00
C0012,LT0_OFF,2.500000,10000,1.300000,0,0,4.754647e+02,1.302200e+00,5.210121e-02,1.283350e+00,1.071794e-05,6.734281e-01,4.237804e+01,5.601966e+00,2.800737e+00,0.000000e+00
C0013,LT0_OFF,3.000000,10000,0.100000,0,0,4.222413e+01,1.002017e-01,3.732932e-03,9.858619e-02,9.283792e-06,5.833182e-01,3.238247e-01,3.306461e-02,1.652892e-02,0.000000e+00
C0014,LT0_OFF,3.000000,10000,0.200000,0,0,8.444825e+01,2.004034e-01,7.465863e-03,1.971724e-01,9.283792e-06,5.833182e-01,1.295299e+00,1.322584e-01,6.611566e-02,0.000000e+00
C0015,LT0_OFF,3.000000,10000,0.400000,0,0,1.688965e+02,4.008068e-01,1.493173e-02,3.943448e-01,9.283792e-06,5.833182e-01,5.181196e+00,5.290337e-01,2.644627e-01,0.000000e+00
C0016,LT0_OFF,3.000000,10000,0.800000,0,0,3.377930e+02,8.016135e-01,2.986345e-02,7.886895e-01,9.283792e-06,5.833182e-01,2.072478e+01,2.116135e+00,1.057851e+00,0.000000e+00
C0017,LT0_OFF,3.000000,10000,1.000000,0,0,4.222413e+02,1.002017e+00,3.732932e-02,9.858619e-01,9.283792e-06,5.833182e-01,3.238247e+01,3.306461e+00,1.652892e+00,0.000000e+00
C0018,LT0_OFF,3.000000,10000,1.300000,0,0,5.489136e+02,1.302622e+00,4.852811e-02,1.281621e+00,9.283792e-06,5.833182e-01,5.472638e+01,5.587918e+00,2.793387e+00,0.000000e+00
C0019,LT0_OFF,4.000000,10000,0.100000,0,0,5.259789e+01,1.002779e-01,3.630472e-03,9.881028e-02,7.452770e-06,4.682718e-01,4.847363e-01,3.293754e-02,1.646981e-02,0.000000e+00
C0020,LT0_OFF,4.000000,10000,0.200000,0,0,1.051958e+02,2.005558e-01,7.260944e-03,1.976206e-01,7.452770e-06,4.682718e-01,1.938945e+00,1.317501e-01,6.587926e-02,0.000000e+00
C0021,LT0_OFF,4.000000,10000,0.400000,0,0,2.103916e+02,4.011116e-01,1.452189e-02,3.952411e-01,7.452770e-06,4.682718e-01,7.755781e+00,5.270006e-01,2.635170e-01,0.000000e+00
C0022,LT0_OFF,4.000000,10000,0.800000,0,0,4.207831e+02,8.022231e-01,2.904378e-02,7.904823e-01,7.452770e-06,4.682718e-01,3.102312e+01,2.108002e+00,1.054068e+00,0.000000e+00
C0023,LT0_OFF,4.000000,10000,1.000000,0,0,5.259789e+02,1.002779e+00,3.630472e-02,9.881028e-01,7.452770e-06,4.682718e-01,4.847363e+01,3.293754e+00,1.646981e+00,0.000000e+00
C0024,LT0_OFF,4.000000,10000,1.300000,0,0,6.837726e+02,1.303613e+00,4.719614e-02,1.284534e+00,7.452770e-06,4.682718e-01,8.192043e+01,5.566444e+00,2.783399e+00,0.000000e+00
C0025,LT0_OFF,2.000000,30000,0.100000,0,0,3.053120e+01,1.001348e-01,4.051318e-03,9.901873e-02,1.283932e-05,2.420156e+00,5.901152e-01,2.984758e-01,1.492436e-01,0.000000e+00
