case_id,mode,gap_mm,freq_hz,target_bn_t,y_mm,bx_abs_t,by_abs_t
C0001,LT0_OFF,2.000000,10000,0.100000,14.000000,4.386009e-03,6.225492e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.142000,1.006990e-03,6.726238e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.284000,1.000291e-03,6.915209e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.426000,1.000880e-03,7.034893e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.568000,1.003329e-03,7.133772e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.710000,1.005894e-03,7.235172e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.852000,1.008610e-03,7.339853e-02
C0001,LT0_OFF,2.000000,10000,0.100000,14.994000,1.010712e-03,7.442620e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.136000,1.010925e-03,7.539503e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.278000,1.010832e-03,7.635090e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.420000,1.005622e-03,7.709032e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.562000,1.000412e-03,7.782974e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.704000,9.952016e-04,7.856915e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.846000,9.899916e-04,7.930857e-02
C0001,LT0_OFF,2.000000,10000,0.100000,15.988000,9.762092e-04,7.996781e-02
C0001,LT0_OFF,2.000000,10000,0.100000,16.130000,9.583648e-04,8.058905e-02
C0001,LT0_OFF,2.000000,10000,0.100000,16.272000,9.405204e-04,8.121029e-02
C0001,LT0_OFF,2.000000,10000,0.100000,16.414000,9.226761e-04,8.183153e-02
C0001,LT0_OFF,2.000000,10000,0.100000,16.556000,8.989347e-04,6.529903e-05
C0001,LT0_OFF,2.000000,10000,0.100000,16.698000,8.614691e-04,7.008139e-05
C0001,LT0_OFF,2.000000,10000,0.100000,16.840000,8.240036e-04,7.486375e-05
C0001,LT0_OFF,2.000000,10000,0.100000,16.982000,7.865380e-04,7.964612e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.124000,7.490725e-04,8.442849e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.266000,6.965458e-04,8.699443e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.408000,6.427553e-04,8.937439e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.550000,5.743855e-04,9.107605e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.692000,5.007216e-04,9.253141e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.834000,4.155875e-04,9.139574e-05
C0001,LT0_OFF,2.000000,10000,0.100000,17.976000,3.208633e-04,8.809373e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.118000,2.241600e-04,8.787192e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.260000,1.225984e-04,9.365585e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.402000,1.533153e-05,9.873583e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.544000,1.028121e-04,9.370319e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.686000,2.252670e-04,8.126407e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.828000,3.536188e-04,7.296920e-05
C0001,LT0_OFF,2.000000,10000,0.100000,18.970000,4.896858e-04,7.101229e-05
C0001,LT0_OFF,2.000000,10000,0.100000,19.112000,6.319186e-04,9.124519e-02
C0001,LT0_OFF,2.000000,10000,0.100000,19.254000,7.796125e-04,9.159395e-02
C0001,LT0_OFF,2.000000,10000,0.100000,19.396000,9.197621e-04,9.191149e-02
C0001,LT0_OFF,2.000000,10000,0.100000,19.538000,1.057888e-03,9.220877e-02
C0001,LT0_OFF,2.000000,10000,0.100000,19.680000,1.199951e-03,7.839535e-05
C0001,LT0_OFF,2.000000,10000,0.100000,19.822000,1.341498e-03,7.539850e-05
C0001,LT0_OFF,2.000000,10000,0.100000,19.964000,1.483265e-03,7.691020e-05
C0001,LT0_OFF,2.000000,10000,0.100000,20.106000,1.598810e-03,8.834990e-05
C0001,LT0_OFF,2.000000,10000,0.100000,20.248000,1.707120e-03,1.053011e-04
