f_Hz,x_mm,y_mm,absA_full,absA_sig0,absBx_full,absBx_sig0,absBy_full,absBy_sig0
1000,0.100000,14.000000,8.756652e-06,1.821610e-05,3.436569e-02,2.436718e-03,3.040364e-01,7.943161e-02
1000,0.100000,14.119000,8.772167e-06,1.821327e-05,3.775604e-04,1.125203e-03,3.047536e-01,8.124694e-02
1000,0.100000,14.238000,8.765808e-06,1.835941e-05,7.346230e-04,1.506080e-03,3.061072e-01,8.315057e-02
1000,0.100000,14.357000,8.687135e-06,1.854023e-05,1.296777e-03,1.736425e-03,3.077929e-01,8.475858e-02
1000,0.100000,14.476000,8.593364e-06,1.873361e-05,1.892229e-03,1.936914e-03,3.090741e-01,8.599963e-02
1000,0.100000,14.595000,8.453761e-06,1.900916e-05,1.882011e-03,1.948962e-03,3.088374e-01,8.693969e-02
1000,0.100000,14.714000,8.151084e-06,1.907714e-05,1.903676e-03,2.022997e-03,3.084929e-01,8.804381e-02
1000,0.100000,14.833000,8.057599e-06,1.938410e-05,1.942110e-03,2.025574e-03,3.092498e-01,8.929754e-02
1000,0.100000,14.952000,8.013070e-06,1.969413e-05,1.933841e-03,2.022183e-03,3.100928e-01,9.054153e-02
1000,0.100000,15.071000,8.296612e-06,1.983199e-05,1.332437e-03,2.004464e-03,3.111707e-01,9.143546e-02
1000,0.100000,15.190000,8.219708e-06,2.015403e-05,1.336406e-03,1.995681e-03,3.125955e-01,9.227678e-02
1000,0.100000,15.309000,8.098365e-06,2.029793e-05,1.964484e-03,2.005764e-03,3.122978e-01,9.310809e-02
1000,0.100000,15.428000,8.001266e-06,2.045880e-05,2.523620e-03,2.006780e-03,3.111892e-01,9.393538e-02
1000,0.100000,15.547000,7.974139e-06,2.077295e-05,2.483469e-03,1.981437e-03,3.101959e-01,9.476428e-02
1000,0.100000,15.666000,7.957243e-06,2.108710e-05,2.443364e-03,1.956284e-03,3.092028e-01,9.559320e-02
1000,0.100000,15.785000,7.950641e-06,2.140125e-05,2.403307e-03,1.931327e-03,3.082097e-01,9.642213e-02
1000,0.100000,15.904000,7.786792e-06,2.153942e-05,2.422802e-03,1.958932e-03,3.069001e-01,9.725041e-02
1000,0.100000,16.023000,7.652746e-06,2.162423e-05,2.450777e-03,1.992451e-03,3.055788e-01,9.804502e-02
1000,0.100000,16.142000,7.708621e-06,2.191373e-05,2.391544e-03,1.945069e-03,3.047825e-01,9.877870e-02
1000,0.100000,16.261000,7.773960e-06,2.220323e-05,2.332354e-03,1.897906e-03,3.039863e-01,9.951240e-02
1000,0.100000,16.380000,7.848529e-06,2.249275e-05,2.273211e-03,1.850978e-03,3.031901e-01,1.002461e-01
1000,0.100000,16.499000,7.932065e-06,2.278227e-05,2.214118e-03,1.804302e-03,3.023940e-01,1.009798e-01
1000,0.100000,16.618000,7.933441e-06,2.270638e-05,1.492561e-03,1.767207e-03,3.022142e-01,1.016793e-01
1000,0.100000,16.737000,8.021703e-06,2.295704e-05,1.435968e-03,1.679019e-03,3.051519e-01,1.023486e-01
1000,0.100000,16.856000,8.114769e-06,2.320835e-05,1.380625e-03,1.590962e-03,3.080956e-01,1.030179e-01
1000,0.100000,16.975000,8.212319e-06,2.345968e-05,1.325283e-03,1.503170e-03,3.110396e-01,1.036872e-01
1000,0.100000,17.094000,8.314194e-06,2.371102e-05,1.269941e-03,1.415691e-03,3.139840e-01,1.043565e-01
1000,0.100000,17.213000,8.324429e-06,2.376748e-05,8.413961e-04,1.301805e-03,3.162582e-01,1.050405e-01
1000,0.100000,17.332000,8.526002e-06,2.380025e-05,4.911109e-04,1.169804e-03,3.190106e-01,1.057168e-01
1000,0.100000,17.451000,8.546523e-06,2.397584e-05,4.115259e-04,1.037354e-03,3.230054e-01,1.063694e-01
1000,0.100000,17.570000,8.572009e-06,2.415143e-05,3.443300e-04,9.055440e-04,3.270008e-01,1.070221e-01
1000,0.100000,17.689000,8.602413e-06,2.432703e-05,2.980242e-04,7.747013e-04,3.309967e-01,1.076747e-01
1000,0.100000,17.808000,8.661443e-06,2.436164e-05,4.428765e-04,6.693961e-04,3.338028e-01,1.083315e-01
1000,0.100000,17.927000,8.724739e-06,2.436923e-05,7.681743e-04,5.414086e-04,3.358671e-01,1.089767e-01
1000,0.100000,18.046000,8.732966e-06,2.447455e-05,5.613213e-04,3.587481e-04,3.380245e-01,1.096014e-01
1000,0.100000,18.165000,8.766940e-06,2.447274e-05,1.042561e-03,1.872943e-04,3.410472e-01,1.101837e-01
1000,0.100000,18.284000,8.792878e-06,2.445431e-05,1.393317e-03,9.636144e-05,3.434257e-01,1.107368e-01
1000,0.100000,18.403000,8.776925e-06,2.446100e-05,1.144690e-03,2.743807e-04,3.440523e-01,1.112403e-01
1000,0.100000,18.522000,8.752897e-06,2.440239e-05,9.990444e-04,4.616712e-04,3.433927e-01,1.116443e-01
1000,0.100000,18.641000,8.599006e-06,2.433103e-05,7.601429e-04,7.223640e-04,3.399846e-01,1.120790e-01
1000,0.100000,18.760000,8.562328e-06,2.425570e-05,1.131459e-03,9.737972e-04,3.394251e-01,1.125223e-01
1000,0.100000,18.879000,8.574011e-06,2.412369e-05,2.019500e-03,1.248998e-03,3.434772e-01,1.130048e-01
1000,0.100000,18.998000,8.532043e-06,2.395575e-05,1.713831e-03,1.451213e-03,3.416449e-01,1.134411e-01
1000,0.100000,19.117000,8.549426e-06,2.376748e-05,2.426037e-03,1.743412e-03,3.458593e-01,1.139177e-01
1000,0.100000,19.236000,8.600537e-06,2.354467e-05,2.481430e-03,2.008969e-03,3.485140e-01,1.143314e-01
1000,0.100000,19.355000,8.658012e-06,2.329886e-05,2.122178e-03,2.257476e-03,3.482400e-01,1.146824e-01
1000,0.100000,19.474000,8.594861e-06,2.300619e-05,2.357280e-03,2.526216e-03,3.491755e-01,1.150320e-01
1000,0.100000,19.593000,8.483965e-06,2.269318e-05,2.465035e-03,2.795677e-03,3.448216e-01,1.153399e-01
1000,0.100000,19.712000,8.514858e-06,2.235706e-05,2.888141e-03,3.051904e-03,3.458692e-01,1.156679e-01
1000,0.100000,19.831000,8.696422e-06,2.197894e-05,3.858443e-03,3.331010e-03,3.489155e-01,1.160272e-01
1000,0.100000,19.950000,8.692688e-06,2.156484e-05,4.573361e-03,3.591682e-03,3.468453e-01,1.162799e-01
1000,0.100000,20.069000,9.165020e-06,2.111331e-05,5.487832e-03,3.890248e-03,3.516997e-01,1.166236e-01
1000,0.100000,20.188000,9.655079e-06,2.063350e-05,6.073982e-03,4.169827e-03,3.568652e-01,1.168961e-01
1000,0.100000,20.307000,1.027297e-05,2.012273e-05,6.506544e-03,4.430567e-03,3.590383e-01,1.170835e-01
1000,0.100000,20.426000,1.054969e-05,1.957187e-05,4.802650e-03,4.656856e-03,3.569957e-01,1.172259e-01
1000,0.100000,20.545000,1.086747e-05,1.901012e-05,4.811454e-03,4.910103e-03,3.546070e-01,1.173515e-01
1000,0.100000,20.664000,1.070139e-05,1.841970e-05,5.144357e-03,5.145185e-03,3.527180e-01,1.174713e-01
1000,0.100000,20.783000,1.068903e-05,1.780049e-05,5.437387e-03,5.380828e-03,3.504810e-01,1.175614e-01
1000,0.100000,20.902000,1.110687e-05,1.716555e-05,5.663982e-03,5.632510e-03,3.475961e-01,1.176220e-01
1000,0.100000,21.021000,1.137586e-05,1.649285e-05,5.744351e-03,5.839256e-03,3.456293e-01,1.176608e-01
1000,0.100000,21.140000,1.179485e-05,1.578904e-05,5.868305e-03,6.031125e-03,3.442212e-01,1.176786e-01
1000,0.100000,21.259000,1.240376e-05,1.507278e-05,6.079495e-03,6.227455e-03,3.429960e-01,1.176853e-01
1000,0.100000,21.378000,1.302714e-05,1.436123e-05,6.293731e-03,6.427204e-03,3.417708e-01,1.176920e-01
