test,f_Hz,y_mm,absBx,absBy
ref,1000,14.0000,2.800117e-02,4.314497e-02
ref,1000,14.2325,1.273194e-03,4.315800e-02
ref,1000,14.4650,1.219698e-03,4.317105e-02
ref,1000,14.6975,1.166376e-03,4.318410e-02
ref,1000,14.9300,1.113253e-03,4.319715e-02
ref,1000,15.1625,1.060360e-03,4.321021e-02
ref,1000,15.3950,1.018449e-03,4.325590e-02
ref,1000,15.6275,9.840399e-04,4.332117e-02
ref,1000,15.8600,9.426361e-04,4.338894e-02
ref,1000,16.0925,8.504755e-04,4.347197e-02
ref,1000,16.3250,7.587781e-04,4.355502e-02
ref,1000,16.5575,6.677348e-04,4.363811e-02
ref,1000,16.7900,5.776549e-04,4.372123e-02
ref,1000,17.0225,4.890712e-04,4.380438e-02
ref,1000,17.2550,4.029714e-04,4.388756e-02
ref,1000,17.4875,3.207996e-04,4.397337e-02
ref,1000,17.7200,2.491552e-04,4.407049e-02
ref,1000,17.9525,2.081579e-04,4.416742e-02
ref,1000,18.1850,2.443755e-04,4.423085e-02
ref,1000,18.4175,2.831087e-04,4.429431e-02
ref,1000,18.6500,3.204677e-04,4.435165e-02
ref,1000,18.8825,3.298933e-04,4.431682e-02
ref,1000,19.1150,3.669944e-04,4.428199e-02
ref,1000,19.3475,4.245770e-04,4.424717e-02
ref,1000,19.5800,4.955519e-04,4.421235e-02
ref,1000,19.8125,5.749809e-04,4.417753e-02
ref,1000,20.0450,6.046470e-04,4.412887e-02
ref,1000,20.2775,5.602432e-04,4.404947e-02
ref,1000,20.5100,6.065737e-04,4.392451e-02
ref,1000,20.7425,6.553491e-04,4.379955e-02
ref,1000,20.9750,7.060629e-04,4.367460e-02
ref,1000,21.2075,7.583264e-04,4.354965e-02
ref,1000,21.4400,8.118403e-04,4.342470e-02
ref,1000,21.6725,8.663729e-04,4.329975e-02
ref,1000,21.9050,9.217435e-04,4.317481e-02
ref,1000,22.1375,9.705264e-04,4.305294e-02
ref,1000,22.3700,9.471216e-04,4.295548e-02
ref,1000,22.6025,9.319876e-04,4.285290e-02
ref,1000,22.8350,9.186115e-04,4.275033e-02
ref,1000,23.0675,9.070712e-04,4.264777e-02
ref,1000,23.3000,8.974375e-04,4.254520e-02
ref,1000,23.5325,8.897722e-04,4.244264e-02
ref,1000,23.7650,8.841267e-04,4.234009e-02
ref,1000,23.9975,8.805398e-04,4.223754e-02
ref,1000,24.2300,8.726840e-04,4.213778e-02
ref,1000,24.4625,8.287527e-04,4.205451e-02
ref,1000,24.6950,7.856028e-04,4.197130e-02
ref,1000,24.9275,7.814878e-04,4.187510e-02
ref,1000,25.1600,7.968352e-04,4.177265e-02
ref,1000,25.3925,8.125903e-04,4.167045e-02
ref,1000,25.6250,8.287300e-04,4.156851e-02
ref,1000,25.8575,8.452321e-04,4.146683e-02
ref,1000,26.0900,8.163337e-04,4.135568e-02
ref,1000,26.3225,7.779099e-04,4.124165e-02
ref,1000,26.5550,7.457766e-04,4.112782e-02
ref,1000,26.7875,7.207756e-04,4.101418e-02
ref,1000,27.0200,7.036676e-04,4.090074e-02
ref,1000,27.2525,6.950357e-04,4.078749e-02
ref,1000,27.4850,6.951829e-04,4.067428e-02
ref,1000,27.7175,6.872338e-04,4.036677e-02
ref,1000,27.9500,6.841261e-04,4.005931e-02
